objectID,title,objectName,department,period,dynasty,objectDate,medium,creditLine,accessionYear,excavation,geographyType,origin_label,origin_precision,origin_lat,origin_lon,met_lat,met_lon,primaryImage,objectURL,objectWikidata_URL
543863,False Door of the Royal Sealer Neferiu,"False door, Neferiu, Wedjebet",Egyptian Art,Old Kingdom–First Intermediate Period,Dynasty 8–11,ca. 2150–2010 B.C.,"Limestone, paint","Gift of J. Pierpont Morgan, 1912",1912,,Probably from,Dendera area,subregion,26.14,32.67,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DP351531.jpg,https://www.metmuseum.org/art/collection/search/543863,https://www.wikidata.org/wiki/Q116252474
543866,Libation Dish Depicting Ka-Arms Presenting an Ankh-Sign,"Dish, libation",Egyptian Art,Early Dynastic Period,Dynasty 1,ca. 3100–2900 B.C.,Greywacke,"Rogers Fund, 1919",1919,,From,Egypt,country,26.8206,30.8025,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DP249937.jpg,https://www.metmuseum.org/art/collection/search/543866,https://www.wikidata.org/wiki/Q29385725
543870,Figure of a male beer-maker,"Statuette, male beer-maker",Egyptian Art,Old Kingdom,Dynasty 5,ca. 2649–2100 B.C.,"Limestone, paint","Rogers Fund, 1920",1920,,From,Saqqara,subregion,29.8714,31.2164,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/20.2.1.JPG,https://www.metmuseum.org/art/collection/search/543870,
543875,Standing statue of Mitry's wife,"Statue, Merti's wife, standing, Mitry",Egyptian Art,Old Kingdom,Dynasty 5,ca. 2381–2323 B.C. probably,"Acacia, gesso, paint","Rogers Fund, 1926",1926,Egyptian Antiquities Service excavations,From,Saqqara,subregion,29.8714,31.2164,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DP-45463-001.jpg,https://www.metmuseum.org/art/collection/search/543875,
543881,Weight equal to five deben,"Weight, 5 deben",Egyptian Art,Old Kingdom,Dynasty 5,ca. 2649–2100 B.C.,Yellow jasper or opal,"Gift of Edward S. Harkness, 1935",1935,,From,Egypt,country,26.8206,30.8025,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT259187.jpg,https://www.metmuseum.org/art/collection/search/543881,
543890,Relief fragment with king Khufu's cattle,"Relief, king Khufu's cattle",Egyptian Art,Old Kingdom,Dynasty 4,ca. 2551–2528 B.C.,Limestone,"Rogers Fund and Edward S. Harkness Gift, 1922",1922,"MMA excavations, 1920–22",From,Lisht North,subregion,29.5667,31.2167,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT244362.jpg,https://www.metmuseum.org/art/collection/search/543890,https://www.wikidata.org/wiki/Q116252355
543894,Relief Fragment with a Ship Under Sail,"Relief, ship under sail",Egyptian Art,Old Kingdom,Dynasty 4–5,ca. 2465–2458 B.C.,"Limestone, paint traces","Rogers Fund and Edward S. Harkness Gift, 1922",1922,"MMA excavations, 1920–22",From,Lisht North,subregion,29.5667,31.2167,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT256967.jpg,https://www.metmuseum.org/art/collection/search/543894,https://www.wikidata.org/wiki/Q116252319
543895,Archers,"Relief, archers",Egyptian Art,Old Kingdom,Dynasty 4,ca. 2551–2494 B.C.,"Limestone, paint","Rogers Fund and Edward S. Harkness Gift, 1922",1922,,Probably originally from,Giza,subregion,29.9765,31.1313,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT259178.jpg,https://www.metmuseum.org/art/collection/search/543895,https://www.wikidata.org/wiki/Q116252311
543896,Fragmentary Face of King Khafre,"Head fragment, King Khafre",Egyptian Art,Old Kingdom,Dynasty 4,ca. 2520–2494 B.C.,Travertine (Egyptian alabaster),"Purchase, Edward S. Harkness Gift, 1926",1926,,Probably from,Giza,subregion,29.9765,31.1313,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT11751.jpg,https://www.metmuseum.org/art/collection/search/543896,https://www.wikidata.org/wiki/Q29385732
543897,Sistrum Inscribed with the Names of King Teti,"Music, sistrum, Teti, papyrus, falcon",Egyptian Art,Old Kingdom,Dynasty 6,ca. 2323–2291 B.C.,"Travertine (Egyptian alabaster), pigment, resin","Purchase, Edward S. Harkness Gift, 1926",1926,,Possibly from,Memphis (Mit Rahina),subregion,29.8483,31.25,40.7794,-73.9632,https://images.metmuseum.org/CRDImages/eg/original/DT259185.jpg,https://www.metmuseum.org/art/collection/search/543897,https://www.wikidata.org/wiki/Q116252313
